,user_id,ad_id,clm_session_id,category_id,platform,survive,escape,quick_process,getting_inspired,structured_process,boost_my_cv,quick_scan,prove_to_self,compare_options,rich_data,unbiased_information,dry_data,clear_job_information,human_verification,head_start,treated_with_respect,standing_out,present_real_me,manage_insecurity,being_informed,learn_from_process,rank_values,rank_money,rank_stability,rank_atmosphere,rank_balance,rank_happiness,rank_development,rank_promotion,rank_freedom,values,money,stability,atmosphere,balance,happiness,development,promotion,freedom,missed_interview,satisfaction,shortcutter,survivor,dreamer,prepared,perfect,believer,no_persona,top_persona,cluster
0,,559049799,6ad1a391-c185-459b-93a9-405937800712,1429.0,Desktop,False,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,False,True,True,1,7,3,8,9,2,6,5,4,True,False,True,False,False,True,False,False,False,True,4,False,False,True,True,False,True,False,survivor,1
1,21266565.0,554112099,9c8fc8fb-120a-4343-8823-f1887ec67449,64.0,Desktop,False,True,False,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,True,True,7,2,1,3,6,9,5,4,8,False,True,True,True,False,False,False,False,False,False,6,False,True,True,True,False,False,False,perfect,2
2,466434494.0,560333784,0cfef4a5-d381-4bb6-86be-7585ce8268b4,1435.0,Desktop,True,True,True,True,False,True,False,True,True,True,True,False,True,False,False,True,False,True,True,True,True,2,3,1,7,6,9,4,5,8,True,True,True,False,False,False,False,False,False,False,8,False,False,False,False,False,False,True,believer,4
3,327449132.0,558376188,09c1f2dd-9170-435e-bad1-9aa8a6de91af,163.0,Desktop,False,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,1,8,9,5,6,2,4,7,3,True,False,False,False,False,True,False,False,True,False,6,True,False,True,True,False,True,False,survivor,1
4,50779897.0,258372561,5c66f5ce-64dc-4f44-9721-1dc9108991ee,164.0,Desktop,False,True,True,True,False,False,False,False,True,True,True,False,True,True,False,True,False,True,False,True,True,9,2,7,4,3,5,6,8,1,False,True,False,False,True,False,False,False,True,False,5,True,True,True,False,False,True,False,prepared,4
5,36331879.0,505373260,79101e5c-57f4-4e8c-96ed-480a2b30e8ad,64.0,Desktop,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,4,5,1,2,3,7,6,9,8,False,False,True,True,True,False,False,False,False,True,2,False,True,False,True,False,False,False,shortcutter,3
6,28383583.0,556067825,7a808d0c-3611-4269-afaf-d8bda011d667,1447.0,Desktop,False,True,False,False,False,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,7,1,6,5,8,2,4,3,9,False,True,False,False,False,True,False,True,False,False,3,False,False,True,True,False,False,False,,1
7,37445739.0,542149971,9357705d-bbbb-4997-8b89-cae70ff6253c,163.0,Desktop,False,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,6,1,5,2,8,7,3,4,9,False,True,False,True,False,False,True,False,False,False,1,False,False,True,True,False,True,False,survivor,2
8,41080523.0,518678307,fe2bebc4-e4f5-4ba3-83f6-8aab5d3229a1,1421.0,Desktop,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,True,False,True,True,True,True,7,4,1,3,2,5,6,9,8,False,False,True,True,True,False,False,False,False,False,7,True,False,True,False,False,True,False,survivor,4
9,254757035.0,510319700,6de55ea7-e753-4eb4-8d2d-b579b06aae88,1421.0,Desktop,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,True,False,True,False,4,7,8,6,2,3,9,5,1,False,False,False,False,True,True,False,False,True,False,5,False,False,True,False,False,False,False,survivor,4
10,246264381.0,544936393,ba525142-7f62-4530-ae0a-7eed1639bae9,1481.0,Desktop,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,6,2,7,1,8,4,9,5,3,False,True,False,True,False,False,False,False,True,True,10,False,False,False,True,False,False,False,believer,3
11,80480365.0,508420914,ab69e5d4-0742-41df-9bca-edd576998c81,1445.0,Desktop,True,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,8,1,9,7,4,6,3,2,5,False,True,False,False,False,False,True,True,False,False,5,False,False,False,True,True,False,False,believer,3
12,4486611.0,560359493,03849958-ac2e-4c26-92f8-f942cb09974d,1421.0,Desktop,True,True,True,True,True,False,False,True,True,True,False,False,True,True,False,True,False,True,True,True,False,5,8,9,6,7,2,1,3,4,False,False,False,False,False,True,True,True,False,False,6,False,True,False,False,True,False,False,believer,4
13,343871637.0,559495522,d7c15dd2-fc99-4a2a-bc15-ad883733b9a6,1425.0,Desktop,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,7,5,2,3,6,9,4,1,8,False,False,True,True,False,False,False,True,False,True,4,False,False,False,True,True,False,False,,3
14,,560352647,00e01c64-9dd7-40a6-ad37-c4dc5e531ff9,1213.0,Desktop,False,True,True,False,True,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,True,1,9,8,7,3,5,2,4,6,True,False,False,False,True,False,True,False,False,False,7,False,False,True,False,False,True,False,prepared,2
15,,530943740,f98a6de6-3365-44bc-8fa8-334990dfff46,1463.0,Desktop,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,True,True,True,False,True,True,9,2,6,1,5,4,8,3,7,False,True,False,True,False,False,False,True,False,False,5,False,True,True,True,True,False,False,shortcutter,4
16,,559246080,9e6671fa-72f9-4044-88b7-341c07814b8a,1473.0,Desktop,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,True,5,7,1,3,9,6,2,8,4,False,False,True,True,False,False,True,False,False,False,7,False,False,False,True,True,False,False,,2
17,,559605185,1c6a2132-8448-42c0-bf2c-43f1c8c957ce,1441.0,Desktop,False,False,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,True,True,False,False,2,3,8,6,9,1,5,7,4,True,True,False,False,False,True,False,False,False,False,7,False,False,False,True,False,True,False,shortcutter,0
18,,147198537,b9a49658-273c-46f4-b720-a3cc1a4d2181,1447.0,Desktop,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,7,2,5,1,6,4,9,8,3,False,True,False,True,False,False,False,False,True,False,5,False,False,False,True,False,False,False,believer,3
19,67149742.0,556434548,5a61557d-0afb-4208-86d3-9c1310727c3a,1435.0,Desktop,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,False,True,True,False,True,2,8,5,7,9,6,4,1,3,True,False,False,False,False,False,False,True,True,True,4,False,False,True,True,False,True,False,perfect,0
20,35440915.0,560337789,60447af5-5adb-4e1c-b86b-c9a090fefaa0,1421.0,Desktop,True,True,False,False,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,False,7,2,8,6,5,1,3,4,9,False,True,False,False,False,True,True,False,False,True,4,False,False,False,True,True,False,False,believer,3
21,47468989.0,559320575,d8c6fd3e-7c9a-4986-a174-c45832a3ca23,62.0,Desktop,False,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,True,False,7,3,5,2,1,6,4,8,9,False,True,False,True,True,False,False,False,False,False,5,True,True,True,True,True,False,False,believer,3
22,249327923.0,554772602,9b233712-6279-4eaa-8620-5b4c604298b7,1445.0,Desktop,True,True,True,False,True,True,True,False,True,True,False,True,True,False,False,True,False,True,True,True,False,9,1,6,7,8,4,5,2,3,False,True,False,False,False,False,False,True,True,True,8,True,False,False,False,False,False,False,believer,4
23,178342897.0,386718173,88031879-9d8c-4187-95ef-10052d97f5d3,53.0,Desktop,False,True,False,True,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True,8,3,6,7,5,9,1,2,4,False,True,False,False,False,False,True,True,False,False,4,False,False,True,True,False,False,False,survivor,3
24,43131169.0,523354449,49d2ff6b-b9e4-4274-81af-16e29f33e425,1435.0,Desktop,False,True,False,False,True,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,3,4,1,8,6,5,7,2,9,True,False,True,False,False,False,False,True,False,False,2,False,False,True,True,False,True,False,survivor,1
